addy,lon,lat
"11444 S Redwood Rd, South Jordan, UT",-111.9393495,40.543585
"3773 W 12600 S, Riverton, UT",-111.9800669,40.5206495
"300 N Hospital Dr, Price, UT",-110.832847,39.6052917
"451 E Bishop Federal Ln, Salt Lake City, UT",-111.8772658,40.7279477
"4403 Harrison Blvd Ste 3630, Ogden, UT",-111.9536786,41.18337
"565 W 465 N Ste 130, Providence, UT",-111.8308782,41.7172953
"303 N Allumbaugh St, Boise, ID",-116.2678565,43.6072136
"333 N 1st St Ste 110, Boise, ID",-116.1940081,43.6133488
"520 S Eagle Rd, Meridian, ID",-116.3526855,43.5995843
"1920 W 5200 S Ste 2, Roy, UT",-112.0263832,41.1692647
"709 N Lincoln Ave, Jerome, ID",-114.518903,42.7300229
"801 Pole Line Rd W, Twin Falls, ID",-114.4961829,42.5906171
"370 9th Ave Ste 111, Salt Lake City, UT",-111.8784867,40.7790864
"26 W 200 N Ste 78-15, Roosevelt, UT",-109.9923464,40.3024122
"1424 E Foremaster Dr Ste 140, St. George, UT",-113.5529599,37.0955875
"3451 Plano Pkwy, Lewisville, TX",-96.8721267,33.0690891
"812 Shoshone, Twin Falls, ID",-114.4632189,42.5606601
"11311 Chinden Blvd, Boise, ID",-116.3221547,43.6597326
"(home delivery services only), Jerome, ID",-114.5186534,42.7240732
"(home delivery services only), Boise, ID",-116.2023137,43.6150186
"(home delivery services only), Salt Lake City, UT",-111.8648952,40.6994262
"(home delivery services only), Cedar City, UT",-113.0618931,37.67747689999999
"301 Deinhard Ln, McCall, ID",-116.1193994,44.8982162
"2860 Channing Way Ste 121, Idaho Falls, ID",-111.9921045,43.470871699999996
"330 N Haven Dr, Twin Falls, ID",-114.4854623,42.5910015
"1202 E Locust St, Emmett, ID",-116.4844903,43.8806438
"(Reference Lab Only), Salt Lake City, UT",-111.8910474,40.7607793
"(Reference Lab Only), Caldwell, ID",-116.6873596,43.66293839999999
"(Reference Lab Only), Mountain Home, ID",-115.6911975,43.1329504
"(Reference Lab Only), Emmett, ID",-116.4993012,43.8734978
"645 E 5th St, Weiser, ID",-116.9629516,44.2488266
"329 W Main, Grangeville, ID",-116.1232646,45.926818
"4088 N Hwy 91, Hyde Park, UT",-111.832367,41.806332
"800 S Industry Way Ste 240, Meridian, ID",-116.3858845,43.5972935
"1906 W 3600 S, West Valley City, UT",-111.9428887,40.6946733
"2235 E Gala St, Meridian, ID",-116.3663748,43.5888502
"850 W Kathleen Ave, Coeur d'Alene, ID",-116.7982219,47.7150568
"1515 E Clark St, Pocatello, ID",-112.4347744,42.8730215
